game_id,season,week,season_type,home_team,home_conference,away_team,away_conference,pre_game_spread,predicted_spread,regression_spread_pred,classification_spread_pred,classification_confidence,actual_spread,start_date,spread_result,regression_spread_result,classification_spread_result
401110723,2019,1,regular,Florida,SEC,Miami,ACC,-7.0,-12.0,1,1,0.3943168,-4.0,2019-08-24 23:00:00+00:00,0,Lost,Lost
401114164,2019,1,regular,Hawai'i,Mountain West,Arizona,Pac-12,10.5,13.0,0,0,0.5858582,-7.0,2019-08-25 02:30:00+00:00,1,Lost,Lost
401117855,2019,1,regular,Connecticut,American Athletic,Wagner,MISSING,-23.0,-22.5,0,0,0.67581934,-3.0,2019-08-29 23:00:00+00:00,0,Won,Won
401117854,2019,1,regular,Cincinnati,American Athletic,UCLA,Pac-12,-2.5,-4.0,1,1,0.4429732,-10.0,2019-08-29 23:00:00+00:00,1,Won,Won
401119254,2019,1,regular,Bowling Green,Mid-American,Morgan State,MISSING,-24.0,-21.5,0,1,0.40840805,-43.0,2019-08-29 23:00:00+00:00,1,Lost,Won
401135910,2019,1,regular,Charlotte,Conference USA,Gardner-Webb,MISSING,-31.0,-28.5,0,0,0.7051674,-21.0,2019-08-29 23:30:00+00:00,0,Won,Won
401114246,2019,1,regular,Western Kentucky,Conference USA,Central Arkansas,MISSING,-10.0,-11.5,1,0,0.546698,7.0,2019-08-29 23:30:00+00:00,0,Lost,Won
401117853,2019,1,regular,UCF,American Athletic,Florida A&M,MISSING,-44.0,-44.5,1,1,0.4528634,-62.0,2019-08-29 23:30:00+00:00,1,Won,Won
401114237,2019,1,regular,UAB,Conference USA,Alabama State,MISSING,-39.0,-36.0,0,0,0.6442852,-5.0,2019-08-30 00:00:00+00:00,0,Won,Won
401111653,2019,1,regular,Clemson,ACC,Georgia Tech,ACC,-36.5,-13.0,0,1,0.37872028,-38.0,2019-08-30 00:00:00+00:00,1,Lost,Won
401114236,2019,1,regular,Tulane,American Athletic,Florida International,Conference USA,-3.0,4.0,0,0,0.555396,-28.0,2019-08-30 00:00:00+00:00,1,Lost,Lost
401110731,2019,1,regular,Texas A&M,SEC,Texas State,Sun Belt,-33.0,-26.5,0,1,0.47623158,-34.0,2019-08-30 00:30:00+00:00,1,Lost,Won
401119253,2019,1,regular,Central Michigan,Mid-American,Albany,MISSING,-14.5,-17.0,1,0,0.61659086,-17.0,2019-08-30 00:50:00+00:00,1,Won,Lost
401112229,2019,1,regular,Minnesota,Big Ten,South Dakota State,MISSING,-14.5,-26.5,1,0,0.5141262,-7.0,2019-08-30 01:00:00+00:00,0,Lost,Won
401117493,2019,1,regular,San José State,Mountain West,Northern Colorado,MISSING,-17.5,-15.5,0,0,0.6174183,-17.0,2019-08-30 02:00:00+00:00,0,Won,Won
401114153,2019,1,regular,Arizona State,Pac-12,Kent State,Mid-American,-24.5,-25.0,1,1,0.20236403,-23.0,2019-08-30 02:00:00+00:00,0,Lost,Lost
401114223,2019,1,regular,BYU,FBS Independents,Utah,Pac-12,5.5,-1.0,1,0,0.60139036,18.0,2019-08-30 02:15:00+00:00,0,Lost,Won
401114238,2019,1,regular,Army,FBS Independents,Rice,Conference USA,-23.5,-16.0,0,0,0.5697906,-7.0,2019-08-30 22:00:00+00:00,0,Won,Won
