game_id,season,week,season_type,home_team,home_conference,away_team,away_conference,pre_game_spread,predicted_spread,regression_spread_pred,classification_spread_pred,classification_confidence,actual_spread,start_date,spread_result,regression_spread_result,classification_spread_result
401119305,2019,13,regular,Northern Illinois,Mid-American,Eastern Michigan,Mid-American,-3.5,-2.0,0,1,0.425413,28.0,2019-11-20 00:30:00+00:00,0,Won,Lost
401119306,2019,13,regular,Bowling Green,Mid-American,Ohio,Mid-American,20.5,-0.5,1,1,0.48999047,42.0,2019-11-20 00:30:00+00:00,0,Lost,Lost
401119308,2019,13,regular,Buffalo,Mid-American,Toledo,Mid-American,-10.0,-6.0,0,0,0.5756775,-19.0,2019-11-21 00:30:00+00:00,1,Lost,Lost
401119307,2019,13,regular,Miami (OH),Mid-American,Akron,Mid-American,-28.0,-17.0,0,0,0.58743167,-3.0,2019-11-21 00:30:00+00:00,0,Won,Won
401112513,2019,13,regular,Georgia Tech,ACC,NC State,ACC,2.5,11.0,0,0,0.7641754,-2.0,2019-11-22 01:00:00+00:00,1,Lost,Lost
401117550,2019,13,regular,Wyoming,Mountain West,Colorado State,Mountain West,-4.5,-4.0,0,1,0.35408086,-10.0,2019-11-23 02:30:00+00:00,1,Lost,Won
401119309,2019,13,regular,Kent State,Mid-American,Ball State,Mid-American,3.0,-2.5,1,0,0.5011051,-3.0,2019-11-23 17:00:00+00:00,1,Won,Lost
401112094,2019,13,regular,Iowa State,Big 12,Kansas,Big 12,-26.5,-15.5,0,1,0.33281535,-10.0,2019-11-23 17:00:00+00:00,0,Won,Lost
401112520,2019,13,regular,Virginia,ACC,Liberty,FBS Independents,-16.5,-17.0,1,1,0.38366908,-28.0,2019-11-23 17:00:00+00:00,1,Won,Won
401112236,2019,13,regular,Northwestern,Big Ten,Minnesota,Big Ten,16.0,8.0,1,0,0.63042843,16.0,2019-11-23 17:00:00+00:00,1,Push,Push
401117906,2019,13,regular,Tulane,American Athletic,UCF,American Athletic,7.0,0.0,1,0,0.57606125,3.0,2019-11-23 17:00:00+00:00,1,Won,Lost
401112256,2019,13,regular,Ohio State,Big Ten,Penn State,Big Ten,-20.0,-11.5,0,1,0.47282064,-11.0,2019-11-23 17:00:00+00:00,0,Won,Lost
401110856,2019,13,regular,Auburn,SEC,Samford,MISSING,-45.5,-45.0,0,0,0.56305563,-52.0,2019-11-23 17:00:00+00:00,1,Lost,Lost
401114358,2019,13,regular,UMass,FBS Independents,BYU,FBS Independents,41.5,27.0,1,0,0.69894654,32.0,2019-11-23 17:00:00+00:00,1,Won,Lost
401117908,2019,13,regular,Connecticut,American Athletic,East Carolina,American Athletic,15.5,14.0,1,0,0.71228826,7.0,2019-11-23 17:00:00+00:00,1,Won,Lost
401112155,2019,13,regular,Iowa,Big Ten,Illinois,Big Ten,-15.5,-6.5,0,0,0.54410183,-9.0,2019-11-23 17:00:00+00:00,0,Won,Won
401112220,2019,13,regular,Rutgers,Big Ten,Michigan State,Big Ten,21.5,8.5,1,0,0.6428257,27.0,2019-11-23 17:00:00+00:00,0,Lost,Won
401110855,2019,13,regular,Alabama,SEC,Western Carolina,MISSING,-58.5,-48.5,0,0,0.6421155,-63.0,2019-11-23 17:00:00+00:00,1,Lost,Lost
401112128,2019,13,regular,West Virginia,Big 12,Oklahoma State,Big 12,6.5,12.5,0,0,0.6994693,7.0,2019-11-23 17:00:00+00:00,0,Won,Won
401121976,2019,13,regular,Georgia State,Sun Belt,South Alabama,Sun Belt,-9.0,-9.5,1,1,0.4791007,-13.0,2019-11-23 19:00:00+00:00,1,Won,Won
401183793,2019,13,regular,New Mexico,Mountain West,Air Force,Mountain West,24.0,8.0,1,0,0.70288086,22.0,2019-11-23 19:00:00+00:00,1,Won,Lost
401112514,2019,13,regular,Notre Dame,FBS Independents,Boston College,ACC,-20.5,-14.5,0,0,0.58071184,-33.0,2019-11-23 19:30:00+00:00,1,Lost,Lost
401121973,2019,13,regular,Appalachian State,Sun Belt,Texas State,Sun Belt,-28.0,-22.0,0,0,0.5785806,-22.0,2019-11-23 19:30:00+00:00,0,Won,Won
401121974,2019,13,regular,Arkansas State,Sun Belt,Georgia Southern,Sun Belt,-1.5,-4.5,1,1,0.4635443,-5.0,2019-11-23 20:00:00+00:00,1,Won,Won
401114315,2019,13,regular,UAB,Conference USA,Louisiana Tech,Conference USA,-6.5,-0.5,0,0,0.5202564,-6.0,2019-11-23 20:30:00+00:00,0,Won,Won
