game_id,season,week,season_type,home_team,home_conference,away_team,away_conference,pre_game_spread,predicted_spread,regression_spread_pred,classification_spread_pred,classification_confidence,actual_spread,start_date,spread_result,regression_spread_result,classification_spread_result
401112080,2019,10,regular,Baylor,Big 12,West Virginia,Big 12,-18.0,-17.5,0,0,0.5951198,-3.0,2019-11-01 00:00:00+00:00,0,Won,Won
401121960,2019,10,regular,Appalachian State,Sun Belt,Georgia Southern,Sun Belt,-13.5,-15.0,1,1,0.3692299,3.0,2019-11-01 00:00:00+00:00,0,Lost,Lost
401117894,2019,10,regular,Connecticut,American Athletic,Navy,American Athletic,26.5,4.0,1,1,0.32470137,46.0,2019-11-02 00:00:00+00:00,0,Lost,Lost
401112495,2019,10,regular,Syracuse,ACC,Boston College,ACC,-3.0,1.5,0,0,0.5247001,31.0,2019-11-02 16:00:00+00:00,0,Won,Won
401119295,2019,10,regular,Central Michigan,Mid-American,Northern Illinois,Mid-American,1.5,-12.0,1,1,0.36690116,-38.0,2019-11-02 16:00:00+00:00,1,Won,Won
401114300,2019,10,regular,Florida International,Conference USA,Old Dominion,Conference USA,-17.5,-17.5,1,1,0.31252527,-7.0,2019-11-02 16:00:00+00:00,0,Lost,Lost
401117895,2019,10,regular,UCF,American Athletic,Houston,American Athletic,-21.5,-12.0,0,0,0.50807035,-15.0,2019-11-02 16:00:00+00:00,0,Won,Won
401114352,2019,10,regular,UMass,FBS Independents,Liberty,FBS Independents,24.0,-4.5,1,0,0.5682266,42.0,2019-11-02 16:00:00+00:00,0,Lost,Won
401119294,2019,10,regular,Eastern Michigan,Mid-American,Buffalo,Mid-American,1.5,-3.5,1,0,0.65089643,29.0,2019-11-02 16:00:00+00:00,0,Lost,Won
401112208,2019,10,regular,Maryland,Big Ten,Michigan,Big Ten,21.5,9.0,1,1,0.34084117,31.0,2019-11-02 16:00:00+00:00,0,Lost,Lost
401112243,2019,10,regular,Purdue,Big Ten,Nebraska,Big Ten,4.0,2.0,1,1,0.41594183,-4.0,2019-11-02 16:00:00+00:00,1,Won,Won
401110841,2019,10,regular,Texas A&M,SEC,UT San Antonio,Conference USA,-37.5,-28.5,0,0,0.5874831,-31.0,2019-11-02 16:00:00+00:00,0,Won,Won
401112500,2019,10,regular,Wake Forest,ACC,NC State,ACC,-8.0,-4.5,0,0,0.58681,-34.0,2019-11-02 16:00:00+00:00,1,Lost,Lost
401119293,2019,10,regular,Bowling Green,Mid-American,Akron,Mid-American,-4.0,-11.5,1,0,0.5770072,-29.0,2019-11-02 18:00:00+00:00,1,Won,Lost
401112501,2019,10,regular,Notre Dame,FBS Independents,Virginia Tech,ACC,-17.5,-11.0,0,0,0.61168194,-1.0,2019-11-02 18:30:00+00:00,0,Won,Won
401121962,2019,10,regular,Coastal Carolina,Sun Belt,Troy,Sun Belt,2.0,5.5,0,1,0.4951203,-1.0,2019-11-02 19:00:00+00:00,1,Lost,Won
401112127,2019,10,regular,Oklahoma State,Big 12,TCU,Big 12,-1.5,-4.5,1,1,0.2903995,-7.0,2019-11-02 19:30:00+00:00,1,Won,Won
401114303,2019,10,regular,North Texas,Conference USA,UTEP,Conference USA,-22.5,-16.0,0,0,0.6038764,-26.0,2019-11-02 19:30:00+00:00,1,Lost,Lost
401114331,2019,10,regular,Air Force,Mountain West,Army,FBS Independents,-17.0,-15.5,0,1,0.46267813,-4.0,2019-11-02 19:30:00+00:00,0,Won,Lost
401114302,2019,10,regular,Rice,Conference USA,Marshall,Conference USA,11.5,11.0,1,0,0.7137079,13.0,2019-11-02 19:30:00+00:00,0,Lost,Won
401114299,2019,10,regular,Charlotte,Conference USA,Middle Tennessee,Conference USA,3.5,-7.5,1,1,0.47665745,-14.0,2019-11-02 19:30:00+00:00,1,Won,Won
401121961,2019,10,regular,Louisiana Monroe,Sun Belt,Arkansas State,Sun Belt,1.0,6.5,0,0,0.6611943,7.0,2019-11-02 19:30:00+00:00,0,Won,Won
