game_id,season,week,season_type,home_team,home_conference,away_team,away_conference,pre_game_spread,predicted_spread,regression_spread_pred,classification_spread_pred,classification_confidence,actual_spread,start_date,spread_result,regression_spread_result,classification_spread_result
401117869,2019,4,regular,Tulane,American Athletic,Houston,American Athletic,-4.0,-11.0,1,1,0.48202914,-7.0,2019-09-20 00:00:00+00:00,1,Won,Won
401114262,2019,4,regular,Louisiana Tech,Conference USA,Florida International,Conference USA,-7.0,-3.5,0,0,0.597983,-12.0,2019-09-21 00:00:00+00:00,1,Lost,Lost
401114220,2019,4,regular,USC,Pac-12,Utah,Pac-12,3.5,-4.5,1,1,0.4370746,-7.0,2019-09-21 01:00:00+00:00,1,Won,Won
401117506,2019,4,regular,Boise State,Mountain West,Air Force,Mountain West,-7.5,-11.0,1,0,0.5240341,-11.0,2019-09-21 01:00:00+00:00,1,Won,Lost
401110805,2019,4,regular,Vanderbilt,SEC,LSU,SEC,24.0,15.0,1,0,0.53846025,28.0,2019-09-21 16:00:00+00:00,0,Lost,Won
401110799,2019,4,regular,Florida,SEC,Tennessee,SEC,-13.5,-15.5,1,1,0.32668096,-31.0,2019-09-21 16:00:00+00:00,1,Won,Won
401112224,2019,4,regular,Wisconsin,Big Ten,Michigan,Big Ten,-3.0,-3.5,1,1,0.3455755,-21.0,2019-09-21 16:00:00+00:00,1,Won,Won
401110797,2019,4,regular,Alabama,SEC,Southern Mississippi,Conference USA,-38.0,-27.0,0,1,0.42282706,-42.0,2019-09-21 16:00:00+00:00,1,Lost,Won
401112462,2019,4,regular,Syracuse,ACC,Western Michigan,Mid-American,-3.5,-7.0,1,0,0.5321082,-19.0,2019-09-21 16:00:00+00:00,1,Won,Lost
401110801,2019,4,regular,Ole Miss,SEC,California,Pac-12,-3.0,-8.5,1,0,0.589908,8.0,2019-09-21 16:00:00+00:00,0,Lost,Won
401112087,2019,4,regular,Iowa State,Big 12,Louisiana Monroe,Sun Belt,-17.5,-8.5,0,0,0.5765506,-52.0,2019-09-21 16:00:00+00:00,1,Lost,Lost
401112215,2019,4,regular,Northwestern,Big Ten,Michigan State,Big Ten,7.5,0.5,1,1,0.3297761,21.0,2019-09-21 16:00:00+00:00,0,Lost,Lost
401114327,2019,4,regular,Army,FBS Independents,Morgan State,MISSING,-45.5,-36.5,0,0,0.59468055,-31.0,2019-09-21 16:00:00+00:00,0,Won,Won
401112464,2019,4,regular,Wake Forest,ACC,Elon,MISSING,-29.5,-39.5,1,1,0.3750733,-42.0,2019-09-21 16:00:00+00:00,1,Won,Won
401112160,2019,4,regular,Indiana,Big Ten,Connecticut,American Athletic,-27.0,-14.0,0,0,0.5511484,-35.0,2019-09-21 16:00:00+00:00,1,Lost,Lost
