game_id,season,week,season_type,home_team,home_conference,away_team,away_conference,pre_game_spread,predicted_spread,regression_spread_pred,classification_spread_pred,classification_confidence,actual_spread,start_date,spread_result,regression_spread_result,classification_spread_result
401121953,2019,8,regular,Troy,Sun Belt,South Alabama,Sun Belt,-17.5,-9.0,0,0,0.5424034,-24.0,2019-10-17 00:00:00+00:00,1,Lost,Lost
401121954,2019,8,regular,Arkansas State,Sun Belt,Louisiana,Sun Belt,6.0,-3.0,1,1,0.2457872,17.0,2019-10-17 23:30:00+00:00,0,Lost,Lost
401114210,2019,8,regular,Stanford,Pac-12,UCLA,Pac-12,-4.5,-0.5,0,0,0.5989486,18.0,2019-10-18 01:00:00+00:00,0,Won,Won
401114288,2019,8,regular,Florida Atlantic,Conference USA,Marshall,Conference USA,-4.0,2.5,0,0,0.6583091,5.0,2019-10-18 22:30:00+00:00,0,Won,Won
401112483,2019,8,regular,Syracuse,ACC,Pittsburgh,ACC,3.5,2.5,1,1,0.47166985,7.0,2019-10-18 23:00:00+00:00,0,Lost,Lost
401112248,2019,8,regular,Northwestern,Big Ten,Ohio State,Big Ten,27.0,23.0,1,1,0.29435343,49.0,2019-10-19 00:30:00+00:00,0,Lost,Lost
401117528,2019,8,regular,Fresno State,Mountain West,UNLV,Mountain West,-15.5,-9.0,0,1,0.34180468,-29.0,2019-10-19 02:00:00+00:00,1,Lost,Won
401112485,2019,8,regular,Louisville,ACC,Clemson,ACC,24.5,21.5,1,1,0.40371913,35.0,2019-10-19 16:00:00+00:00,0,Lost,Lost
401110829,2019,8,regular,South Carolina,SEC,Florida,SEC,3.5,-1.0,1,1,0.38549423,11.0,2019-10-19 16:00:00+00:00,0,Lost,Lost
401112196,2019,8,regular,Iowa,Big Ten,Purdue,Big Ten,-18.0,-16.5,0,0,0.5551784,-6.0,2019-10-19 16:00:00+00:00,0,Won,Won
401112488,2019,8,regular,Miami,ACC,Georgia Tech,ACC,-18.5,-21.5,1,1,0.41789907,7.0,2019-10-19 16:00:00+00:00,0,Lost,Lost
401110825,2019,8,regular,Arkansas,SEC,Auburn,SEC,19.5,-2.0,1,1,0.28750515,41.0,2019-10-19 16:00:00+00:00,0,Lost,Lost
401117886,2019,8,regular,Connecticut,American Athletic,Houston,American Athletic,22.0,12.0,1,0,0.58007056,7.0,2019-10-19 16:00:00+00:00,1,Won,Lost
401112119,2019,8,regular,Oklahoma,Big 12,West Virginia,Big 12,-32.0,-22.0,0,0,0.5121232,-38.0,2019-10-19 16:00:00+00:00,1,Lost,Lost
401112151,2019,8,regular,Illinois,Big Ten,Wisconsin,Big Ten,30.0,13.5,1,1,0.37077498,-1.0,2019-10-19 16:00:00+00:00,1,Won,Won
