game_id,season,week,season_type,home_team,home_conference,away_team,away_conference,pre_game_spread,predicted_spread,regression_spread_pred,classification_spread_pred,classification_confidence,actual_spread,start_date,spread_result,regression_spread_result,classification_spread_result
401112448,2019,3,regular,Wake Forest,ACC,North Carolina,ACC,-3.0,7.5,0,1,0.2935083,-6.0,2019-09-13 22:00:00+00:00,1,Lost,Won
401112098,2019,3,regular,Boston College,ACC,Kansas,Big 12,-20.5,-4.5,0,0,0.72297335,24.0,2019-09-13 23:30:00+00:00,0,Won,Won
401114230,2019,3,regular,Houston,American Athletic,Washington State,Pac-12,9.0,7.0,1,0,0.69980156,7.0,2019-09-14 01:15:00+00:00,1,Won,Lost
401112159,2019,3,regular,Indiana,Big Ten,Ohio State,Big Ten,17.5,5.5,1,0,0.6618966,41.0,2019-09-14 16:00:00+00:00,0,Lost,Won
401112259,2019,3,regular,Penn State,Big Ten,Pittsburgh,ACC,-17.0,-18.0,1,0,0.50946903,-7.0,2019-09-14 16:00:00+00:00,0,Lost,Won
401112147,2019,3,regular,Illinois,Big Ten,Eastern Michigan,Mid-American,-7.5,-12.0,1,1,0.34269488,3.0,2019-09-14 16:00:00+00:00,0,Lost,Lost
401112144,2019,3,regular,West Virginia,Big 12,NC State,ACC,7.0,-1.5,1,1,0.4497158,-17.0,2019-09-14 16:00:00+00:00,1,Won,Won
401112455,2019,3,regular,Virginia Tech,ACC,Furman,MISSING,-24.0,-34.5,1,0,0.62408555,-7.0,2019-09-14 16:00:00+00:00,0,Lost,Won
401110792,2019,3,regular,Mississippi State,SEC,Kansas State,Big 12,-7.0,-25.0,1,1,0.22537398,7.0,2019-09-14 16:00:00+00:00,0,Lost,Lost
401110788,2019,3,regular,Georgia,SEC,Arkansas State,Sun Belt,-33.0,-20.5,0,1,0.4746927,-55.0,2019-09-14 16:00:00+00:00,1,Lost,Won
401112203,2019,3,regular,Temple,American Athletic,Maryland,Big Ten,5.0,-9.5,1,1,0.43628794,-3.0,2019-09-14 16:00:00+00:00,1,Won,Won
401110795,2019,3,regular,Tennessee,SEC,Chattanooga,MISSING,-30.5,-41.0,1,0,0.571916,-45.0,2019-09-14 16:00:00+00:00,1,Won,Lost
401117863,2019,3,regular,Cincinnati,American Athletic,Miami (OH),Mid-American,-17.0,-25.5,1,1,0.4720714,-22.0,2019-09-14 16:00:00+00:00,1,Won,Won
401112452,2019,3,regular,Georgia Tech,ACC,The Citadel,MISSING,-25.5,-36.0,1,0,0.58355045,3.0,2019-09-14 16:30:00+00:00,0,Lost,Won
401114185,2019,3,regular,Colorado,Pac-12,Air Force,Mountain West,-3.0,-11.0,1,1,0.44831383,7.0,2019-09-14 17:00:00+00:00,0,Lost,Lost
401121939,2019,3,regular,Coastal Carolina,Sun Belt,Norfolk State,MISSING,-25.5,-18.0,0,0,0.5886991,-39.0,2019-09-14 18:00:00+00:00,1,Lost,Lost
401114257,2019,3,regular,Ball State,Mid-American,Florida Atlantic,Conference USA,2.5,7.5,0,0,0.71420014,10.0,2019-09-14 18:00:00+00:00,0,Won,Won
401114336,2019,3,regular,Notre Dame,FBS Independents,New Mexico,Mountain West,-35.0,-23.0,0,0,0.7228558,-52.0,2019-09-14 18:30:00+00:00,1,Lost,Lost
401119263,2019,3,regular,Central Michigan,Mid-American,Akron,Mid-American,-2.5,-12.5,1,0,0.64458716,-21.0,2019-09-14 19:00:00+00:00,1,Won,Lost
401112231,2019,3,regular,Minnesota,Big Ten,Georgia Southern,Sun Belt,-16.5,-13.0,0,1,0.39570868,-3.0,2019-09-14 19:30:00+00:00,0,Won,Lost
401117864,2019,3,regular,Navy,American Athletic,East Carolina,American Athletic,-7.5,-8.5,1,1,0.1589114,-32.0,2019-09-14 19:30:00+00:00,1,Won,Won
401110794,2019,3,regular,South Carolina,SEC,Alabama,SEC,26.5,4.5,1,1,0.2516206,24.0,2019-09-14 19:30:00+00:00,1,Won,Won
401117865,2019,3,regular,South Alabama,Sun Belt,Memphis,American Athletic,20.5,9.5,1,0,0.72094333,36.0,2019-09-14 19:30:00+00:00,0,Lost,Won
401112246,2019,3,regular,Northwestern,Big Ten,UNLV,Mountain West,-18.5,-8.5,0,0,0.6287777,-16.0,2019-09-14 19:30:00+00:00,0,Won,Won
401112124,2019,3,regular,Tulsa,American Athletic,Oklahoma State,Big 12,14.0,10.5,1,0,0.6337178,19.0,2019-09-14 19:30:00+00:00,0,Lost,Won
401114208,2019,3,regular,UCF,American Athletic,Stanford,Pac-12,-10.0,-0.5,0,0,0.57139266,-18.0,2019-09-14 19:30:00+00:00,1,Lost,Lost
401114219,2019,3,regular,BYU,FBS Independents,USC,Pac-12,4.5,8.5,0,0,0.53076434,-3.0,2019-09-14 19:30:00+00:00,1,Lost,Lost
401114261,2019,3,regular,UT San Antonio,Conference USA,Army,FBS Independents,17.0,1.0,1,1,0.3752566,18.0,2019-09-14 19:30:00+00:00,0,Lost,Lost
401112454,2019,3,regular,Miami,ACC,Bethune-Cookman,MISSING,-41.5,-42.5,1,0,0.5263884,-63.0,2019-09-14 20:00:00+00:00,1,Won,Lost
401110791,2019,3,regular,Ole Miss,SEC,Southeastern Louisiana,MISSING,-30.5,-32.5,1,1,0.48122478,-11.0,2019-09-14 20:00:00+00:00,0,Lost,Lost
401110786,2019,3,regular,Arkansas,SEC,Colorado State,Mountain West,-10.0,-14.5,1,0,0.5332469,-21.0,2019-09-14 20:00:00+00:00,1,Won,Lost
401112453,2019,3,regular,Western Kentucky,Conference USA,Louisville,ACC,10.5,-3.5,1,0,0.65601695,17.0,2019-09-14 20:00:00+00:00,0,Lost,Won
401112214,2019,3,regular,Michigan State,Big Ten,Arizona State,Pac-12,-15.5,-0.5,0,0,0.5155834,3.0,2019-09-14 20:00:00+00:00,0,Won,Won
401112086,2019,3,regular,Iowa State,Big 12,Iowa,Big Ten,1.5,5.0,0,1,0.38577205,1.0,2019-09-14 20:00:00+00:00,1,Lost,Won
401114225,2019,3,regular,Utah,Pac-12,Idaho State,MISSING,-37.5,-33.5,0,0,0.5565357,-31.0,2019-09-14 20:15:00+00:00,0,Won,Won
401114176,2019,3,regular,California,Pac-12,North Texas,Conference USA,-14.0,-3.5,0,0,0.5805665,-6.0,2019-09-14 20:15:00+00:00,0,Won,Won
401114201,2019,3,regular,Oregon State,Pac-12,Cal Poly,MISSING,-16.5,-18.0,1,1,0.47880858,-38.0,2019-09-14 20:15:00+00:00,1,Won,Won
401114258,2019,3,regular,Bowling Green,Mid-American,Louisiana Tech,Conference USA,13.0,-2.0,1,0,0.66469955,28.0,2019-09-14 21:00:00+00:00,0,Lost,Won
401117866,2019,3,regular,South Florida,American Athletic,South Carolina State,MISSING,-25.0,-34.5,1,1,0.3282951,-39.0,2019-09-14 22:00:00+00:00,1,Won,Won
401114348,2019,3,regular,Liberty,FBS Independents,Buffalo,Mid-American,5.5,-2.5,1,0,0.5446805,-18.0,2019-09-14 22:00:00+00:00,1,Won,Lost
401114260,2019,3,regular,Troy,Sun Belt,Southern Mississippi,Conference USA,-3.0,-0.0,0,0,0.6014744,5.0,2019-09-14 22:00:00+00:00,0,Won,Won
401114255,2019,3,regular,Charlotte,Conference USA,UMass,FBS Independents,-21.0,-10.5,0,0,0.6660144,-35.0,2019-09-14 22:00:00+00:00,1,Lost,Lost
401114259,2019,3,regular,Marshall,Conference USA,Ohio,Mid-American,-4.5,-9.0,1,0,0.55362785,-2.0,2019-09-14 22:30:00+00:00,0,Lost,Won
401114256,2019,3,regular,Florida International,Conference USA,New Hampshire,MISSING,-13.5,-26.5,1,1,0.3402022,-13.0,2019-09-14 23:00:00+00:00,0,Lost,Lost
401110796,2019,3,regular,Texas A&M,SEC,Lamar,MISSING,-45.0,-50.5,1,0,0.62064314,-59.0,2019-09-14 23:00:00+00:00,1,Won,Lost
401119265,2019,3,regular,Toledo,Mid-American,Murray State,MISSING,-36.5,-30.5,0,0,0.6404465,-45.0,2019-09-14 23:00:00+00:00,1,Lost,Lost
401110789,2019,3,regular,Kentucky,SEC,Florida,SEC,9.5,7.0,1,1,0.42113203,8.0,2019-09-14 23:00:00+00:00,1,Won,Won
401110787,2019,3,regular,Auburn,SEC,Kent State,Mid-American,-35.5,-32.0,0,1,0.4950949,-39.0,2019-09-14 23:00:00+00:00,1,Lost,Won
401112450,2019,3,regular,Middle Tennessee,Conference USA,Duke,ACC,6.5,-12.0,1,0,0.68322855,23.0,2019-09-14 23:00:00+00:00,0,Lost,Won
401119264,2019,3,regular,Western Michigan,Mid-American,Georgia State,Sun Belt,-9.0,-1.5,0,0,0.52834666,-47.0,2019-09-14 23:00:00+00:00,1,Lost,Lost
