game_id,season,week,season_type,home_team,home_conference,away_team,away_conference,pre_game_spread,predicted_spread,actual_spread,spread_pick,straight_pick,spread_result,straight_result,start_date
401119297,2019,11,regular,Toledo,Mid-American,Kent State,Mid-American,-4.0,-3.0,-2.0,Kent State,Toledo,Won,Won,2019-11-06 00:00:00+00:00
401119296,2019,11,regular,Western Michigan,Mid-American,Ball State,Mid-American,-6.5,0.5,-4.0,Ball State,Ball State,Won,Lost,2019-11-06 01:00:00+00:00
401119298,2019,11,regular,Ohio,Mid-American,Miami (OH),Mid-American,-7.0,0.5,3.0,Miami (OH),Miami (OH),Won,Won,2019-11-07 01:00:00+00:00
401121964,2019,11,regular,Coastal Carolina,Sun Belt,Louisiana,Sun Belt,14.0,23.0,41.0,Louisiana,Louisiana,Won,Won,2019-11-08 00:30:00+00:00
401117899,2019,11,regular,South Florida,American Athletic,Temple,American Athletic,-1.0,7.5,10.0,Temple,Temple,Won,Won,2019-11-08 01:00:00+00:00
401117900,2019,11,regular,Tulsa,American Athletic,UCF,American Athletic,16.5,10.0,-3.0,Tulsa,UCF,Won,Lost,2019-11-09 00:00:00+00:00
401114205,2019,11,regular,Oregon State,Pac-12,Washington,Pac-12,10.5,13.0,12.0,Washington,Washington,Won,Won,2019-11-09 03:30:00+00:00
401112502,2019,11,regular,Boston College,ACC,Florida State,ACC,-1.0,1.0,7.0,Florida State,Florida State,Won,Won,2019-11-09 17:00:00+00:00
401112249,2019,11,regular,Northwestern,Big Ten,Purdue,Big Ten,-1.0,3.5,2.0,Purdue,Purdue,Won,Won,2019-11-09 17:00:00+00:00
401110843,2019,11,regular,Arkansas,SEC,Western Kentucky,Conference USA,-1.0,-9.5,26.0,Arkansas,Arkansas,Lost,Lost,2019-11-09 17:00:00+00:00
401117902,2019,11,regular,SMU,American Athletic,East Carolina,American Athletic,-22.0,-14.0,-8.0,East Carolina,SMU,Won,Won,2019-11-09 17:00:00+00:00
401112209,2019,11,regular,Ohio State,Big Ten,Maryland,Big Ten,-42.5,-43.0,-59.0,Ohio State,Ohio State,Won,Won,2019-11-09 17:00:00+00:00
401114332,2019,11,regular,Army,FBS Independents,UMass,FBS Independents,-34.5,-31.5,-56.0,UMass,Army,Lost,Won,2019-11-09 17:00:00+00:00
