game_id,season,week,season_type,home_team,home_conference,away_team,away_conference,pre_game_spread,predicted_spread,regression_spread_pred,classification_spread_pred,classification_confidence,actual_spread,start_date,spread_result,regression_spread_result,classification_spread_result
401119310,2019,14,regular,Akron,Mid-American,Ohio,Mid-American,27.5,14.0,1,0,0.5592015,49.0,2019-11-26 23:00:00+00:00,0,Lost,Won
401119311,2019,14,regular,Northern Illinois,Mid-American,Western Michigan,Mid-American,10.0,1.5,1,1,0.49078023,-3.0,2019-11-27 00:00:00+00:00,1,Won,Won
401110863,2019,14,regular,Mississippi State,SEC,Ole Miss,SEC,1.5,-11.5,1,1,0.46608013,-1.0,2019-11-29 00:30:00+00:00,1,Won,Won
401119313,2019,14,regular,Eastern Michigan,Mid-American,Kent State,Mid-American,-3.5,8.5,0,0,0.77046645,8.0,2019-11-29 17:00:00+00:00,0,Won,Won
401112521,2019,14,regular,Virginia,ACC,Virginia Tech,ACC,1.5,1.5,1,0,0.52077574,-9.0,2019-11-29 17:00:00+00:00,1,Won,Lost
401119312,2019,14,regular,Buffalo,Mid-American,Bowling Green,Mid-American,-28.0,-19.0,0,1,0.4351197,-42.0,2019-11-29 17:00:00+00:00,1,Lost,Won
401119314,2019,14,regular,Ball State,Mid-American,Miami (OH),Mid-American,-3.0,-7.0,1,0,0.5330017,-14.0,2019-11-29 17:00:00+00:00,1,Won,Lost
401119315,2019,14,regular,Central Michigan,Mid-American,Toledo,Mid-American,-14.5,-10.5,0,1,0.37921804,-42.0,2019-11-29 17:00:00+00:00,1,Lost,Won
401112138,2019,14,regular,Texas,Big 12,Texas Tech,Big 12,-8.0,-18.0,1,1,0.30254048,-25.0,2019-11-29 17:00:00+00:00,1,Won,Won
401112200,2019,14,regular,Nebraska,Big Ten,Iowa,Big Ten,4.0,5.0,0,1,0.4795239,3.0,2019-11-29 19:30:00+00:00,1,Lost,Won
401110864,2019,14,regular,Arkansas,SEC,Missouri,SEC,15.0,4.0,1,0,0.60621715,10.0,2019-11-29 19:30:00+00:00,1,Won,Lost
401117554,2019,14,regular,Colorado State,Mountain West,Boise State,Mountain West,13.5,18.5,0,0,0.7112899,7.0,2019-11-29 20:30:00+00:00,1,Lost,Lost
401117913,2019,14,regular,Memphis,American Athletic,Cincinnati,American Athletic,-13.5,2.5,0,0,0.67856467,-10.0,2019-11-29 20:30:00+00:00,0,Won,Won
