game_id,season,week,season_type,home_team,home_conference,away_team,away_conference,pre_game_spread,predicted_spread,actual_spread,spread_pick,straight_pick,spread_result,straight_result
401135260,2019,1,postseason,Charlotte,Conference USA,Buffalo,Mid-American,7.0,17.0,22.0,Buffalo,Buffalo,Won,Won
401135261,2019,1,postseason,Kent State,Mid-American,Utah State,Mountain West,7.0,8.0,-10.0,Utah State,Utah State,Lost,Lost
401135263,2019,1,postseason,San Diego State,Mountain West,Central Michigan,Mid-American,-3.5,-9.5,-37.0,San Diego State,San Diego State,Won,Won
401147693,2019,1,postseason,Georgia Southern,Sun Belt,Liberty,FBS Independents,-5.0,3.0,7.0,Liberty,Liberty,Won,Won
401135264,2019,1,postseason,Florida Atlantic,Conference USA,SMU,American Athletic,7.0,5.5,-24.0,Florida Atlantic,SMU,Won,Lost
401135265,2019,1,postseason,Arkansas State,Sun Belt,Florida International,Conference USA,1.0,0.5,-8.0,Arkansas State,Florida International,Won,Lost
401135266,2019,1,postseason,Washington,Pac-12,Boise State,Mountain West,-3.5,-15.5,-31.0,Washington,Washington,Won,Won
401135267,2019,1,postseason,UAB,Conference USA,Appalachian State,Sun Belt,17.0,11.0,14.0,UAB,Appalachian State,Won,Won
401135268,2019,1,postseason,Marshall,Conference USA,UCF,American Athletic,15.5,34.5,23.0,UCF,UCF,Won,Won
401135269,2019,1,postseason,BYU,FBS Independents,Hawai'i,Mountain West,-2.5,-0.5,4.0,Hawai'i,BYU,Won,Lost
401135270,2019,1,postseason,Miami,ACC,Louisiana Tech,Conference USA,-6.5,-1.0,14.0,Louisiana Tech,Miami,Won,Lost
401135271,2019,1,postseason,Eastern Michigan,Mid-American,Pittsburgh,ACC,12.0,7.0,4.0,Eastern Michigan,Pittsburgh,Won,Won
401135272,2019,1,postseason,Temple,American Athletic,North Carolina,ACC,6.0,3.5,42.0,Temple,North Carolina,Lost,Won
401135273,2019,1,postseason,Wake Forest,ACC,Michigan State,Big Ten,3.5,-2.5,6.0,Wake Forest,Wake Forest,Lost,Lost
401135274,2019,1,postseason,Texas A&M,SEC,Oklahoma State,Big 12,-4.5,-2.0,-3.0,Oklahoma State,Texas A&M,Won,Won
401136253,2019,1,postseason,Iowa,Big Ten,USC,Pac-12,-1.5,-3.5,-25.0,Iowa,Iowa,Won,Won
401135275,2019,1,postseason,Washington State,Pac-12,Air Force,Mountain West,2.5,3.0,10.0,Air Force,Air Force,Won,Won
401135276,2019,1,postseason,Iowa State,Big 12,Notre Dame,FBS Independents,3.5,11.5,24.0,Notre Dame,Notre Dame,Won,Won
401135277,2019,1,postseason,Penn State,Big Ten,Memphis,American Athletic,-6.5,0.0,-14.0,Memphis,Memphis,Lost,Lost
401135278,2019,1,postseason,LSU,SEC,Oklahoma,Big 12,-12.5,-32.5,-35.0,LSU,LSU,Won,Won
401135279,2019,1,postseason,Ohio State,Big Ten,Clemson,ACC,2.5,2.5,6.0,Ohio State,Clemson,Lost,Won
401135280,2019,1,postseason,Western Michigan,Mid-American,Western Kentucky,Conference USA,3.0,0.5,3.0,Western Michigan,Western Kentucky,Push,Won
401136254,2019,1,postseason,Illinois,Big Ten,California,Pac-12,6.0,7.0,15.0,California,California,Won,Won
401135281,2019,1,postseason,Louisville,ACC,Mississippi State,SEC,4.5,6.5,-10.0,Mississippi State,Mississippi State,Lost,Lost
401135282,2019,1,postseason,Virginia,ACC,Florida,SEC,15.5,6.5,8.0,Virginia,Florida,Won,Won
401135283,2019,1,postseason,Kentucky,SEC,Virginia Tech,ACC,2.5,1.5,-7.0,Kentucky,Virginia Tech,Won,Lost
401136255,2019,1,postseason,Arizona State,Pac-12,Florida State,ACC,-3.0,2.5,-6.0,Florida State,Florida State,Lost,Lost
401135284,2019,1,postseason,Kansas State,Big 12,Navy,American Athletic,2.0,-1.0,3.0,Kansas State,Kansas State,Lost,Lost
401147695,2019,1,postseason,Georgia State,Sun Belt,Wyoming,Mountain West,7.5,9.0,21.0,Wyoming,Wyoming,Won,Won
401135285,2019,1,postseason,Texas,Big 12,Utah,Pac-12,7.0,7.0,-28.0,Texas,Utah,Won,Lost
401135286,2019,1,postseason,Alabama,SEC,Michigan,Big Ten,-7.5,-6.0,-19.0,Michigan,Alabama,Lost,Won
401135287,2019,1,postseason,Auburn,SEC,Minnesota,Big Ten,-7.0,1.0,7.0,Minnesota,Minnesota,Won,Won
401135288,2019,1,postseason,Wisconsin,Big Ten,Oregon,Pac-12,-3.0,-1.0,1.0,Oregon,Wisconsin,Won,Lost
401135289,2019,1,postseason,Baylor,Big 12,Georgia,SEC,3.5,6.5,12.0,Georgia,Georgia,Won,Won
401135290,2019,1,postseason,Cincinnati,American Athletic,Boston College,ACC,-7.5,-13.5,-32.0,Cincinnati,Cincinnati,Won,Won
401135291,2019,1,postseason,Tennessee,SEC,Indiana,Big Ten,-3.5,1.5,-1.0,Indiana,Indiana,Won,Lost
401135292,2019,1,postseason,Nevada,Mountain West,Ohio,Mid-American,10.0,15.5,9.0,Ohio,Ohio,Lost,Won
401135293,2019,1,postseason,Tulane,American Athletic,Southern Mississippi,Conference USA,-7.0,-4.5,-17.0,Southern Mississippi,Tulane,Lost,Won
401135294,2019,1,postseason,Miami (OH),Mid-American,Louisiana,Sun Belt,15.0,12.0,10.0,Miami (OH),Louisiana,Won,Won
401135295,2019,1,postseason,LSU,SEC,Clemson,ACC,-4.5,-5.0,-17.0,LSU,LSU,Won,Won
